SKU,URL,Product_Name,Variation_name
1692177001, https://shopee.co.id/S 26 Promil Tahap 2 Susu Formula Lanjutan Box 400g   400 g Diskon-i.72818550.1692177001, S 26 Promil Tahap 2 Susu Formula Lanjutan Box 400g   400 g Diskon, 
1651610430, https://shopee.co.id/Enfamil Puramino Susu Formula Hipoalergenik Berbasis Asam Amino  Bayi Alergi Susu Sapi 400g-i.11913311.1651610430, Enfamil Puramino Susu Formula Hipoalergenik Berbasis Asam Amino  Bayi Alergi Susu Sapi 400g, 
1451549414, https://shopee.co.id/Wyeth S26 Promise Tahap 4 Susu Formula 700 Gr-i.86698747.1451549414, Wyeth S26 Promise Tahap 4 Susu Formula 700 Gr, 
739453002, https://shopee.co.id/Enfagrow A+4 Susu Formula Pertumbuhan Balita Vanila 400g-i.46796711.739453002, Enfagrow A+4 Susu Formula Pertumbuhan Balita Vanila 400g, 
1448960717, https://shopee.co.id/S26 Promise Gold Tahap 4 Susu Formula 400 gram-i.86698747.1448960717, S26 Promise Gold Tahap 4 Susu Formula 400 gram, 
1415484886, https://shopee.co.id/Good Quality MORINAGA CHIL MIL Platinum Susu Formula Lanjutan Tin 800g \u002F 800 g Terlaris-i.66510097.1415484886, Good Quality MORINAGA CHIL MIL Platinum Susu Formula Lanjutan Tin 800g \u002F 800 g Terlaris, 
1034856148, https://shopee.co.id/Enfamil A+ Gentle Care Susu Formula Tin 900gr / Enfamil A+ Gentle care usia 012 Bulan isi 900 gram-i.55555459.1034856148, Enfamil A+ Gentle Care Susu Formula Tin 900gr / Enfamil A+ Gentle care usia 012 Bulan isi 900 gram, 
1034847231, https://shopee.co.id/Enfamil A+ 2 Susu Formula tin 800gr / Enfamil A+ 2 usia 612 Bulan isi 800gram-i.55555459.1034847231, Enfamil A+ 2 Susu Formula tin 800gr / Enfamil A+ 2 usia 612 Bulan isi 800gram, 
814049525, https://shopee.co.id/EKSLUSIF! SUSU FORMULA S26 S 26 PROCAL GOLD WYETH 1600G 1-i.47014625.814049525, EKSLUSIF! SUSU FORMULA S26 S 26 PROCAL GOLD WYETH 1600G 1, 
557165547, https://shopee.co.id/PROMO!! FRISOLAC GOLD 2 SUSU FORMULA BAYI 612BULAN FRISIO KALENG PLAIN 900GR-i.37301301.557165547, PROMO!! FRISOLAC GOLD 2 SUSU FORMULA BAYI 612BULAN FRISIO KALENG PLAIN 900GR, 
856686178, https://shopee.co.id/Enfamil Pregestimil Susu Formula Bayi Hipoalergenik Bagi Bayi Alergi Susu Sapi 400g-i.46796711.856686178, Enfamil Pregestimil Susu Formula Bayi Hipoalergenik Bagi Bayi Alergi Susu Sapi 400g, 
1519681415, https://shopee.co.id/Sustagen Junior 1+ Vanilla Susu Formula [1200 gr]-i.17644932.1519681415, Sustagen Junior 1+ Vanilla Susu Formula [1200 gr], 
1681792407, https://shopee.co.id/STOK TERAKHIR PREGESTIMIL 400 GRAM SUSU FORMULA KHUSUS BAYI ALERGI USIA 012 BULAN GROSIR-i.95488989.1681792407, STOK TERAKHIR PREGESTIMIL 400 GRAM SUSU FORMULA KHUSUS BAYI ALERGI USIA 012 BULAN GROSIR, 
1681646797, https://shopee.co.id/TERLARIS VIDORAN SUSU XMART 3+ NUTRIPLEX VANILA SUSU FORMULA 750 G GROSIR-i.95488989.1681646797, TERLARIS VIDORAN SUSU XMART 3+ NUTRIPLEX VANILA SUSU FORMULA 750 G GROSIR, 
892762191, https://shopee.co.id/Sale Susu Formula Alergi Susu Sapi Pregestimil Hipoalergenik -i.45638474.892762191, Sale Susu Formula Alergi Susu Sapi Pregestimil Hipoalergenik , 
589418463, https://shopee.co.id/MORINAGA CHIL MIL Soya Susu Formula Lanjutan Tin 600g / 600 g-i.18282027.589418463, MORINAGA CHIL MIL Soya Susu Formula Lanjutan Tin 600g / 600 g, 
1612044135, https://shopee.co.id/DISKON Morinaga Chil School Tahap 4 Vanila Susu Formula 1600 g TERLARIS-i.48842961.1612044135, DISKON Morinaga Chil School Tahap 4 Vanila Susu Formula 1600 g TERLARIS, 
